Geneid	R4C-rep1	R4C-rep2	R4C-rep3	R4S-rep1	R4S-rep2	R4S-rep3	ROP2-rep1	ROW2-rep1
gene:Solyc10g076420.2	1364	1484	1453	1569	1366	1262	2484	2184
gene:Solyc10g076415.1	0	0	0	0	0	0	0	0
gene:Solyc10g076410.1	12	18	73	26	26	59	0	0
gene:Solyc10g076405.1	0	0	0	0	0	0	0	0
gene:Solyc10g076400.2	42	52	47	50	51	49	406	161
gene:Solyc10g076390.2	8	10	20	11	128	26	161	8
gene:Solyc10g076380.2	0	0	0	0	0	0	0	1
gene:Solyc10g076370.3	4	0	4	8	8	4	480	34
gene:Solyc10g076360.1	1030	894	1066	706	543	489	946	770
gene:Solyc10g076355.1	0	0	0	0	0	0	0	0
gene:Solyc10g076350.2	5774	6287	5804	5313	4942	4719	5666	4010
gene:Solyc10g076340.3	0	2	0	2	1	0	0	0
gene:Solyc10g076330.3	893	986	601	225	551	666	0	0
gene:Solyc10g076320.3	2	4	2	4	4	0	30	30
gene:Solyc10g076300.2	140	101	144	48	55	76	316	283
gene:Solyc10g076290.2	268	341	278	647	612	674	1593	1996
gene:Solyc10g076280.3	54	38	20	69	45	81	2	239
gene:Solyc10g076270.3	2511	2778	3542	4821	2428	2503	3322	8585
gene:Solyc10g076260.2	1505	1542	2051	3003	1570	1548	1035	5209
gene:Solyc10g076250.2	1242	1374	2724	1928	820	783	10039	28845
gene:Solyc10g076245.1	0	0	0	0	0	0	0	0
gene:Solyc10g076240.3	8	0	0	0	0	0	0	0
gene:Solyc10g076230.3	0	0	0	0	0	0	0	0
gene:Solyc10g076220.3	0	0	0	0	0	0	0	0
gene:Solyc10g076210.2	0	0	0	0	0	0	0	0
gene:Solyc10g076200.3	0	0	10	0	0	0	21	16
gene:Solyc10g076190.2	0	0	12	108	0	0	0	10
gene:Solyc10g076180.1	34	62	6	178	140	105	2909	4488
gene:Solyc10g075177.1	0	0	0	0	0	0	0	0
gene:Solyc10g150139.1	0	0	0	0	0	0	0	0
gene:Solyc10g075173.1	0	0	0	0	0	0	0	0
gene:Solyc10g075170.3	6	0	8	0	2	1	12	10
gene:Solyc10g075160.1	7591	6773	10491	19045	9473	6025	5302	2437
gene:Solyc10g075150.2	157	86	22	14	0	4	0	0
gene:Solyc10g075118.1	18	50	34	30	36	20	7330	2240
gene:Solyc10g075116.1	0	0	0	0	0	0	0	0
gene:Solyc10g075114.1	0	0	0	0	0	0	0	0
gene:Solyc10g075112.1	0	0	0	0	0	0	0	0
gene:Solyc10g075111.1	0	0	0	0	0	0	0	0
gene:Solyc10g075110.2	356	184	316	229	162	255	7141	9801
gene:Solyc10g075107.1	131	131	207	155	157	136	60	161
gene:Solyc10g075103.1	37	44	64	20	24	18	7	2
gene:Solyc10g075100.2	243	270	327	249	260	214	98	275
gene:Solyc10g075090.3	5	19	17	3	8	3	2	0
gene:Solyc10g075080.1	20	16	15	15	11	12	2	4
gene:Solyc10g075070.3	3505	2770	4004	3970	2438	1704	30	12
gene:Solyc10g075065.1	0	0	0	0	0	0	0	0
gene:Solyc10g075060.2	0	0	0	0	0	0	0	0
gene:Solyc10g075050.2	104	198	99	236	222	260	76	12
gene:Solyc10g075040.3	1180	1302	1295	820	1034	1234	1150	1722
gene:Solyc10g075030.3	2240	2153	2057	1618	1679	1687	2573	3717
gene:Solyc10g075020.3	1921	2050	1739	1578	1725	1771	850	890
gene:Solyc10g075010.2	66	54	44	22	18	22	12	2
gene:Solyc10g075000.3	0	0	0	0	0	0	0	0
gene:Solyc10g074990.2	361	427	426	573	681	585	1709	1901
gene:Solyc10g074980.2	8597	8640	11684	15511	9166	9100	8577	8199
gene:Solyc10g074970.1	682	749	1161	1536	888	858	6303	3629
gene:Solyc10g074950.2	46	28	30	46	16	22	947	64
gene:Solyc10g074940.2	4986	5170	5340	5025	4138	4448	5592	7514
gene:Solyc10g074930.1	4675	5235	4056	4918	4171	3287	3034	3827
gene:Solyc10g074920.2	1162	882	1184	1850	1415	1248	4376	293
gene:Solyc10g074910.2	1079	1041	1167	1083	943	983	1281	693
gene:Solyc10g074900.2	828	845	724	530	468	445	420	840
gene:Solyc10g074890.2	851	844	1201	784	762	809	1292	1425
gene:Solyc10g074880.3	1168	1488	1028	730	653	538	2385	1931
gene:Solyc10g074870.2	719	739	683	655	537	555	995	1271
gene:Solyc10g074860.2	3007	3178	3662	3143	2796	2671	5766	3388
gene:Solyc10g074850.3	3	2	19	12	0	0	19	0
gene:Solyc10g074828.1	0	0	0	0	0	0	0	0
gene:Solyc10g074826.1	0	0	0	0	0	0	0	0
gene:Solyc10g074824.1	2	0	0	4	0	0	0	0
gene:Solyc10g074822.1	84	85	40	41	32	11	0	0
gene:Solyc10g074820.1	1447	1700	1501	1148	958	1198	648	510
gene:Solyc10g074810.2	1716	1828	2169	1480	1136	1272	3859	3452
gene:Solyc10g074800.3	8	22	66	36	32	6	128	32
gene:Solyc10g074790.2	3034	3203	4483	1959	1967	2154	4820	3980
gene:Solyc10g074785.1	2	4	0	21	7	0	0	0
gene:Solyc10g074780.1	0	0	0	0	0	0	0	0
gene:Solyc10g074750.1	240	230	321	295	200	271	791	670
gene:Solyc10g074740.2	1356	1115	1837	618	778	1159	1758	535
gene:Solyc10g074730.3	8	12	13	10	6	6	246	40
gene:Solyc10g074720.3	2203	2613	2141	2631	2716	3027	1675	1213
gene:Solyc10g074710.2	3316	3375	3051	2633	3455	3123	2834	2504
gene:Solyc10g074700.2	4037	4388	3516	3290	3211	3249	2726	3908
gene:Solyc10g074690.2	3701	4189	4044	4309	3633	3807	4390	4912
gene:Solyc10g074680.2	625	700	791	670	683	802	0	2
gene:Solyc10g074650.2	1972	2324	2758	2078	1540	1326	1273	1994
gene:Solyc10g074647.1	0	0	0	0	0	0	0	0
gene:Solyc10g074643.1	5	3	12	5	2	8	5	7
gene:Solyc10g074640.3	0	0	0	0	0	0	0	4
gene:Solyc10g074630.3	201	168	268	252	133	118	160	299
gene:Solyc10g074620.3	0	0	6	4	0	0	66	30
gene:Solyc10g074610.3	125	156	109	224	226	156	164	323
gene:Solyc10g074600.3	102	145	110	246	165	188	297	280
gene:Solyc10g074590.2	2254	2397	2621	2534	2193	2046	3115	3640
gene:Solyc10g074580.2	1307	1246	1564	1335	1154	1448	2096	2608
gene:Solyc10g074570.2	1938	1956	2367	1909	1754	1519	1933	3463
gene:Solyc10g074560.2	2016	2119	1580	1676	1928	1894	1130	2286
gene:Solyc10g074550.3	6	8	15	8	0	8	0	6
gene:Solyc10g074540.1	9782	9289	10342	1977	1676	3028	382	1376
gene:Solyc10g074530.2	258	257	285	266	214	191	319	543
gene:Solyc10g074500.2	3505	3992	4327	3156	2881	2863	3322	3238
gene:Solyc10g074490.3	21	56	149	226	46	45	0	3
gene:Solyc10g074475.1	0	1	2	2	0	0	0	0
gene:Solyc10g074470.3	1596	1732	1609	1977	2151	2381	610	1639
gene:Solyc10g074465.1	0	0	0	0	0	0	0	0
gene:Solyc10g074460.3	0	1	0	0	2	2	2	0
gene:Solyc10g074450.1	0	0	0	0	0	0	0	0
gene:Solyc10g074447.1	0	0	0	0	0	0	0	2
gene:Solyc10g074443.1	0	0	0	0	0	0	0	46
gene:Solyc10g074440.2	944	886	220	643	894	888	198	2
gene:Solyc10g074437.1	18	12	12	22	2	5	2	0
gene:Solyc10g074433.1	0	0	0	0	0	0	0	0
gene:Solyc10g074430.2	0	0	0	0	0	0	0	0
gene:Solyc10g074400.3	2	0	0	0	2	0	0	0
gene:Solyc10g074390.1	0	1	0	2	4	1	0	0
gene:Solyc10g074380.3	0	0	0	0	0	0	0	2
gene:Solyc10g074370.1	0	0	0	0	0	0	0	0
gene:Solyc10g074360.1	0	0	0	0	0	0	0	0
gene:Solyc10g073357.1	4	7	23	12	11	6	0	19
gene:Solyc10g073353.1	0	0	0	0	0	0	0	0
gene:Solyc10g073350.2	0	0	0	0	0	0	0	0
gene:Solyc10g068355.1	0	0	0	0	0	0	0	0
gene:Solyc10g068350.1	0	0	0	0	0	1	0	0
gene:Solyc10g055820.3	17	23	2	6	7	22	0	8
gene:Solyc10g055810.2	3334	3107	2755	749	629	559	22	365
gene:Solyc10g055800.2	2849	2638	2240	84	168	202	250	243
gene:Solyc10g055790.1	174	97	90	19	25	50	0	0
gene:Solyc10g055780.1	406	370	301	69	121	212	2	0
gene:Solyc10g055770.2	1240	1201	1656	1354	985	985	311	473
gene:Solyc10g055760.2	4731	3756	4216	578	1452	2171	242	22
gene:Solyc10g055750.1	0	0	0	0	0	0	0	0
gene:Solyc10g055740.2	68	94	44	23	38	169	248	4
gene:Solyc10g055730.3	18	14	4	32	12	24	0	0
gene:Solyc10g055725.1	0	0	0	0	0	0	0	0
gene:Solyc10g055720.2	2057	1923	2407	3500	2412	2621	2295	3795
gene:Solyc10g055710.2	30	28	28	17	4	9	69	27
gene:Solyc10g055700.2	451	429	704	479	209	200	274	540
gene:Solyc10g055685.1	0	0	0	2	0	0	0	0
gene:Solyc10g055680.1	572	484	266	559	245	297	331	41
gene:Solyc10g055670.2	2676	3230	2837	2458	2257	2020	3457	3414
gene:Solyc10g055655.1	1856	1847	1302	1845	2091	2163	920	2139
gene:Solyc10g055650.2	2515	2702	3490	3049	2982	3127	5325	4923
gene:Solyc10g055640.2	1561	2020	2039	1509	1604	1686	2819	2757
gene:Solyc10g055630.2	21085	23454	19267	21985	19613	18427	11418	8331
gene:Solyc10g055620.2	497	526	659	819	633	530	1224	1448
gene:Solyc10g055597.1	173	150	246	152	134	106	257	266
gene:Solyc10g055593.1	183	166	243	193	142	126	134	191
gene:Solyc10g055590.1	0	0	0	0	0	0	0	0
gene:Solyc10g055580.2	0	0	0	0	0	0	0	8
gene:Solyc10g055570.3	0	0	0	0	0	0	0	0
gene:Solyc10g055560.2	394	414	444	391	302	379	0	10
gene:Solyc10g055550.3	6	2	2	8	12	5	0	0
gene:Solyc10g055545.1	11	38	41	47	14	9	20	50
gene:Solyc10g055540.2	289	319	374	398	293	316	262	594
gene:Solyc10g055470.2	2	2	54	16	0	0	1328	1031
gene:Solyc10g055460.2	31	30	65	38	32	54	97	134
gene:Solyc10g055450.2	9224	9905	10811	10110	8228	7933	8499	15280
gene:Solyc10g055427.1	0	0	0	0	0	0	0	0
gene:Solyc10g055423.1	0	0	0	0	0	0	0	0
gene:Solyc10g055420.2	530	747	651	1162	263	152	38	42
gene:Solyc10g055410.2	637	568	978	1215	720	696	189	171
gene:Solyc10g055400.1	67	89	55	76	45	14	82	115
gene:Solyc10g055390.2	729	984	1149	924	922	1005	30	305
gene:Solyc10g055375.1	58	88	128	138	60	77	51	37
gene:Solyc10g055370.2	8	18	14	2	0	2	214	1215
gene:Solyc10g055360.1	0	0	0	0	0	0	0	0
gene:Solyc10g055350.1	0	0	0	0	0	0	0	0
gene:Solyc10g055330.3	0	0	0	0	0	0	0	0
gene:Solyc10g055310.1	0	0	0	0	0	0	0	0
gene:Solyc10g055300.2	0	0	0	0	0	0	0	0
gene:Solyc10g055280.1	0	0	0	0	0	0	0	0
gene:Solyc10g055265.1	0	0	0	0	0	0	0	0
gene:Solyc10g055260.2	310	369	267	89	159	149	8	0
gene:Solyc10g055250.1	323	572	419	211	199	131	83	49
gene:Solyc10g055240.2	1713	1506	2055	1783	1602	2023	36	8
gene:Solyc10g055230.1	28	41	32	26	16	8	0	0
gene:Solyc10g055210.3	0	3	28	0	0	0	0	0
gene:Solyc10g055200.1	1250	897	3815	504	423	369	72	16
gene:Solyc10g055197.1	0	0	0	0	0	0	70	2
gene:Solyc10g055193.1	0	0	0	0	0	0	0	2
gene:Solyc10g055190.1	0	0	0	0	0	0	0	0
gene:Solyc10g055180.1	0	0	0	0	0	0	0	0
gene:Solyc10g055170.1	0	0	0	0	0	0	0	0
gene:Solyc10g055160.3	0	0	0	0	0	0	0	0
gene:Solyc10g055150.1	0	0	0	0	0	0	0	0
gene:Solyc10g055130.2	0	0	0	0	0	0	0	0
gene:Solyc10g055120.1	0	0	0	0	0	0	0	0
gene:Solyc10g055110.2	0	0	0	0	0	0	0	0
gene:Solyc10g055100.1	0	0	0	0	0	0	0	0
gene:Solyc10g055090.1	0	0	0	0	0	0	0	0
gene:Solyc10g150138.1	0	0	0	0	0	0	0	0
gene:Solyc10g055080.3	0	0	0	0	0	0	0	0
gene:Solyc10g055070.1	0	0	0	0	0	0	0	0
gene:Solyc10g055060.3	0	0	0	0	0	0	0	0
gene:Solyc10g055050.2	0	0	6	0	0	0	0	0
gene:Solyc10g055040.3	0	0	0	0	0	0	0	0
gene:Solyc10g055035.1	0	0	0	0	0	0	0	2
gene:Solyc10g055030.1	0	0	0	0	0	0	0	0
gene:Solyc10g055020.3	0	0	0	0	0	0	0	0
gene:Solyc10g055010.3	0	0	0	0	0	0	0	0
gene:Solyc10g055000.3	0	0	0	0	0	0	0	0
gene:Solyc10g054990.3	0	0	0	0	0	0	0	0
gene:Solyc10g054980.3	0	0	0	0	0	0	0	0
gene:Solyc10g054970.1	0	0	0	0	0	0	0	0
gene:Solyc10g054960.1	0	0	0	0	0	0	0	0
gene:Solyc10g054950.3	0	0	0	0	0	0	0	0
gene:Solyc10g054940.1	0	0	0	0	0	0	0	0
gene:Solyc10g054930.2	578	680	776	553	624	586	386	686
gene:Solyc10g054910.1	3286	3549	3166	2815	2289	2257	1403	1622
gene:Solyc10g054900.2	0	5	2	10	6	0	513	18
gene:Solyc10g054880.3	3519	3727	3554	4165	3481	3304	4576	4444
gene:Solyc10g054870.3	1228	895	1020	2121	1281	1164	0	0
gene:Solyc10g054860.2	2789	3274	2120	2088	2532	2774	1723	5482
gene:Solyc10g054850.2	631	582	588	419	549	458	420	879
gene:Solyc10g054840.2	454	350	208	850	741	693	4	2
gene:Solyc10g054820.2	133	85	14	258	174	37	4	0
gene:Solyc10g054810.2	0	1	0	0	0	0	0	0
gene:Solyc10g054800.2	0	0	0	2	1	0	0	0
gene:Solyc10g054790.2	0	0	0	0	0	0	0	0
gene:Solyc10g054780.2	2596	2717	2571	2090	2180	2046	1280	4501
gene:Solyc10g054770.1	12	1	8	10	8	18	0	1
gene:Solyc10g054760.1	0	0	0	0	0	0	0	0
gene:Solyc10g150137.1	0	0	0	0	0	0	0	0
gene:Solyc10g150136.1	0	0	0	0	0	0	0	0
gene:Solyc10g054730.1	211	181	149	102	158	115	52	194
gene:Solyc10g054727.1	103	122	94	87	92	120	84	94
gene:Solyc10g054723.1	0	0	0	0	0	0	0	0
gene:Solyc10g054720.1	28	27	7	75	46	23	0	2
gene:Solyc10g054677.1	0	0	0	0	0	0	0	0
gene:Solyc10g054675.1	0	0	0	2	0	0	0	0
gene:Solyc10g054673.1	0	1	0	0	0	0	0	2
gene:Solyc10g054670.3	8	17	41	40	11	10	166	279
gene:Solyc10g054660.2	1246	1731	1488	1153	1016	830	1721	1614
gene:Solyc10g054625.1	3	3	0	10	1	2	0	0
gene:Solyc10g054620.1	0	0	0	0	2	0	0	0
gene:Solyc10g054610.1	0	0	0	0	0	0	0	0
gene:Solyc10g054600.1	0	0	0	0	0	0	0	0
gene:Solyc10g054590.2	2212	2398	2355	2596	2524	2452	2235	2080
gene:Solyc10g054570.2	1888	2136	2022	1873	1982	1863	1520	1251
gene:Solyc10g054560.2	4537	4885	4677	4042	4083	3996	3870	3079
gene:Solyc10g054550.1	0	0	0	0	0	0	0	0
gene:Solyc10g054540.1	0	0	0	0	0	0	0	0
gene:Solyc10g054530.1	0	0	0	0	0	0	0	0
gene:Solyc10g054520.1	0	0	0	0	0	0	0	0
gene:Solyc10g054510.1	0	0	0	0	0	0	0	0
gene:Solyc10g054500.1	0	0	0	0	0	0	0	0
gene:Solyc10g054490.2	0	0	0	0	0	0	0	0
gene:Solyc10g054480.3	37	42	97	88	81	64	161	260
gene:Solyc10g054470.1	15	16	5	25	8	9	45	51
gene:Solyc10g054460.1	2	10	2	5	3	0	2	12
gene:Solyc10g054455.1	6	9	9	5	5	10	16	22
gene:Solyc10g054450.1	0	0	0	0	0	0	0	0
gene:Solyc10g054440.3	38965	33881	58165	14221	21389	22626	6012	35885
gene:Solyc10g054420.2	784	666	1060	899	642	745	104	256
gene:Solyc10g054417.1	0	0	0	0	0	0	0	0
gene:Solyc10g054413.1	0	0	0	0	0	0	0	0
gene:Solyc10g054410.1	0	0	0	0	0	0	0	0
gene:Solyc10g054400.1	125	130	271	269	154	104	246	168
gene:Solyc10g054390.3	13	10	33	34	18	14	13	20
gene:Solyc10g054380.3	33	33	63	86	52	38	10	14
gene:Solyc10g054370.1	2	0	10	10	8	18	0	4
gene:Solyc10g054360.1	16	2	29	29	18	23	2	8
gene:Solyc10g054350.2	27	12	27	30	33	26	1	2
gene:Solyc10g054340.1	8	14	29	16	8	7	3	0
gene:Solyc10g054330.3	2385	2524	2810	2109	2389	2538	3453	3022
gene:Solyc10g054320.2	838	1097	1442	931	736	746	1418	1200
gene:Solyc10g054310.1	0	0	0	0	0	0	0	0
gene:Solyc10g054300.1	0	0	0	0	0	4	0	1
gene:Solyc10g054290.1	0	0	0	0	0	0	0	0
gene:Solyc10g054280.2	870	1156	936	1176	1084	863	806	693
gene:Solyc10g054270.3	0	0	0	0	0	0	0	0
gene:Solyc10g054240.1	0	0	0	0	0	0	0	0
gene:Solyc10g054207.1	0	0	0	0	0	0	0	0
gene:Solyc10g054203.1	0	0	0	0	0	0	0	0
gene:Solyc10g054200.1	0	0	0	0	0	0	0	0
gene:Solyc10g054170.3	0	0	0	0	0	0	0	0
gene:Solyc10g054130.3	14	2	27	26	8	41	8	7
gene:Solyc10g150135.1	0	0	0	0	0	0	0	0
gene:Solyc10g054100.3	989	1008	1012	676	547	510	1405	1064
gene:Solyc10g054090.2	0	0	0	0	0	0	0	0
gene:Solyc10g054080.3	5447	6128	5647	6541	5373	5491	2745	3273
gene:Solyc10g054070.1	0	37	6	20	22	15	0	0
gene:Solyc10g054060.2	702	710	782	814	703	761	975	852
gene:Solyc10g054050.3	2	0	11	31	1	7	80	35
gene:Solyc10g054040.3	495	605	1006	1484	339	296	16	64
gene:Solyc10g054030.2	1911	2291	2537	2189	1251	1014	2724	2927
gene:Solyc10g054015.1	0	0	0	0	0	0	0	0
gene:Solyc10g054010.1	745	922	741	826	472	651	624	441
gene:Solyc10g053990.1	0	0	0	0	0	0	0	3
gene:Solyc10g053980.2	16	9	26	8	0	4	0	0
gene:Solyc10g053970.2	6614	7134	7439	5567	5078	4483	2961	4642
gene:Solyc10g053960.2	0	0	2	0	0	0	0	0
gene:Solyc10g053910.3	91	109	91	57	51	73	12	0
gene:Solyc10g053900.2	0	0	0	0	0	0	57	9
gene:Solyc10g053890.2	0	0	0	0	0	0	0	2
gene:Solyc10g053880.1	82	156	317	281	96	128	485	380
gene:Solyc10g052880.1	1566	1331	3192	839	990	877	588	1913
gene:Solyc10g150134.1	0	0	0	0	0	0	0	0
gene:Solyc10g052870.1	0	0	0	0	0	0	0	0
gene:Solyc10g052847.1	0	0	0	0	0	0	0	0
gene:Solyc10g052843.1	0	0	0	0	0	0	0	0
gene:Solyc10g052840.1	0	0	0	0	0	0	0	0
gene:Solyc10g052827.1	0	0	0	0	0	0	0	0
gene:Solyc10g052823.1	0	0	0	0	0	0	0	0
gene:Solyc10g052820.1	0	0	0	0	0	0	0	0
gene:Solyc10g052817.1	0	0	0	0	0	0	0	0
gene:Solyc10g052813.1	0	0	0	0	0	0	0	0
gene:Solyc10g052810.1	0	0	0	0	0	0	0	0
gene:Solyc10g052800.1	0	0	0	0	0	0	0	0
gene:Solyc10g052718.1	0	0	0	0	0	0	0	0
gene:Solyc10g052716.1	211	256	222	280	257	189	113	337
gene:Solyc10g052714.1	59	77	78	105	67	65	66	117
gene:Solyc10g052712.1	549	699	577	363	271	330	707	765
gene:Solyc10g052710.1	0	0	0	0	0	0	0	0
gene:Solyc10g052685.1	0	0	0	0	0	0	0	0
gene:Solyc10g052680.1	0	0	0	0	0	0	0	0
gene:Solyc10g052670.2	0	0	0	0	0	0	0	0
gene:Solyc10g052650.3	0	0	0	0	0	0	0	0
gene:Solyc10g052660.4	7121	7629	5391	6138	7006	6138	8934	8156
gene:Solyc10g052640.3	0	0	0	0	0	0	0	0
gene:Solyc10g052607.1	0	0	0	0	0	0	0	0
gene:Solyc10g150133.1	0	0	0	0	0	0	0	0
gene:Solyc10g052603.1	28	37	12	21	24	33	0	0
gene:Solyc10g052600.1	8	6	10	28	14	10	48	6
gene:Solyc10g052590.1	0	0	0	0	0	0	11	0
gene:Solyc10g150132.1	0	0	0	0	0	0	0	0
gene:Solyc10g052580.3	0	0	0	0	0	0	0	0
gene:Solyc10g052565.1	0	0	0	0	0	0	0	0
gene:Solyc10g052560.1	0	2	4	0	0	4	0	2
gene:Solyc10g052550.1	4	2	0	10	4	0	0	0
gene:Solyc10g052540.1	2	0	9	6	1	2	0	0
gene:Solyc10g052530.1	4	4	0	3	4	0	6	0
gene:Solyc10g052520.2	0	0	2	0	0	2	0	2
gene:Solyc10g052515.1	0	0	0	0	0	0	0	0
gene:Solyc10g052510.2	222	207	272	362	199	208	386	485
gene:Solyc10g052500.2	121	106	281	338	80	100	142	688
gene:Solyc10g052490.2	240	210	651	548	172	216	127	224
gene:Solyc10g052480.1	0	0	0	0	0	0	0	0
gene:Solyc10g052470.1	27	25	172	67	35	76	626	119
gene:Solyc10g052450.1	0	0	0	0	0	0	0	0
gene:Solyc10g051377.1	17067	19134	26005	7119	10298	11894	18378	35107
gene:Solyc10g051373.1	656	749	980	1212	876	702	2645	3969
gene:Solyc10g051370.3	0	0	0	0	0	0	100	899
gene:Solyc10g051360.1	0	0	0	0	0	0	0	0
gene:Solyc10g051350.2	1663	1807	2093	1977	1415	1606	2193	1454
gene:Solyc10g051340.2	4993	5288	6258	4277	3524	3315	3684	3333
gene:Solyc10g051330.3	0	0	1	0	0	0	2	0
gene:Solyc10g051310.2	2946	3046	3313	3291	3349	3390	3243	3179
gene:Solyc10g051300.2	874	858	925	930	721	792	1192	1053
gene:Solyc10g150131.1	0	0	2	6	0	3	0	0
gene:Solyc10g150130.1	2	0	0	6	0	5	0	0
gene:Solyc10g051270.2	570	612	707	648	548	549	1448	923
gene:Solyc10g051260.3	0	0	0	0	0	0	0	0
gene:Solyc10g051255.1	0	0	0	0	0	0	0	0
gene:Solyc10g051250.1	0	0	0	0	0	0	0	0
gene:Solyc10g051240.1	0	0	0	0	2	0	0	0
gene:Solyc10g051230.1	0	0	1	0	0	0	0	0
gene:Solyc10g051220.3	22	12	4	29	17	12	11	9
gene:Solyc10g051215.1	117	104	79	159	206	198	46	44
gene:Solyc10g051210.1	0	6	14	22	0	0	0	0
gene:Solyc10g051200.2	929	1009	1222	943	890	906	1074	975
gene:Solyc10g051180.1	0	0	0	0	0	0	0	0
gene:Solyc10g051170.2	0	0	0	0	0	0	0	0
gene:Solyc10g051165.1	0	0	0	0	0	0	0	0
gene:Solyc10g051160.2	0	0	0	0	0	0	0	1
gene:Solyc10g051150.3	640	829	914	590	544	431	459	1958
gene:Solyc10g051140.3	2016	2621	2318	1474	1382	1283	2516	4862
gene:Solyc10g051130.3	84	51	61	39	24	42	58	16
gene:Solyc10g051125.1	6	1	1	4	0	5	0	0
gene:Solyc10g051120.3	21	28	25	12	1	12	656	285
gene:Solyc10g051110.1	5937	5725	6433	5696	4908	4634	2322	2811
gene:Solyc10g051090.3	1442	3337	8501	10782	1130	142	0	0
gene:Solyc10g051080.1	21	29	39	14	46	25	62	76
gene:Solyc10g051070.1	68	50	92	44	72	58	30	25
gene:Solyc10g051050.3	997	676	484	214	533	986	64	2
gene:Solyc10g051035.1	0	0	2	0	0	0	0	0
gene:Solyc10g051030.2	854	655	869	637	578	694	418	30
gene:Solyc10g051020.2	185	218	393	166	170	173	4	0
gene:Solyc10g051010.3	372	512	414	371	406	295	301	741
gene:Solyc10g150129.1	45	85	44	69	59	44	56	107
gene:Solyc10g050993.1	6	0	6	0	2	0	0	0
gene:Solyc10g050990.2	0	0	0	0	0	4	8	113
gene:Solyc10g050980.1	0	0	0	0	0	0	0	6
gene:Solyc10g050970.1	608	542	385	30	1215	1112	12	12
gene:Solyc10g050960.3	10	7	18	2	20	22	0	2
gene:Solyc10g050950.1	0	0	0	0	0	0	0	16
gene:Solyc10g050940.1	0	0	0	0	0	0	0	57
gene:Solyc10g050920.2	203	210	181	105	116	125	85	157
gene:Solyc10g050910.1	42	50	62	49	42	45	140	134
gene:Solyc10g050900.1	0	0	0	0	0	0	5	356
gene:Solyc10g050895.1	0	0	0	2	0	0	0	0
gene:Solyc10g050890.2	466	383	592	586	384	396	3293	1544
gene:Solyc10g050880.2	0	0	0	0	0	8	0	32
gene:Solyc10g050870.3	681	675	660	533	434	471	561	474
gene:Solyc10g050860.3	3799	4352	4602	5574	5032	5175	4927	9020
gene:Solyc10g050850.2	393	493	487	643	496	509	917	806
gene:Solyc10g050840.3	2484	2570	3021	2681	1975	1867	3571	4279
gene:Solyc10g050777.1	0	0	0	0	0	0	0	0
gene:Solyc10g050773.1	0	0	0	0	0	0	0	0
gene:Solyc10g050770.1	5	17	93	102	20	31	57	97
gene:Solyc10g050750.3	0	0	2	0	0	0	0	16
gene:Solyc10g050740.1	11	21	4	26	12	0	0	0
gene:Solyc10g150128.1	273	372	371	309	282	354	585	678
gene:Solyc10g050730.2	0	0	0	0	0	0	0	0
gene:Solyc10g050720.2	0	0	0	0	0	0	0	0
gene:Solyc10g050710.1	0	0	0	0	0	0	0	0
gene:Solyc10g050700.1	0	0	2	0	1	0	0	0
gene:Solyc10g050690.2	42	73	24	26	18	21	0	10
gene:Solyc10g050640.1	0	0	0	0	0	0	0	0
gene:Solyc10g050630.1	0	0	0	0	0	0	0	0
gene:Solyc10g050620.1	0	0	0	0	0	0	0	0
gene:Solyc10g050610.1	0	0	0	0	0	0	0	4
gene:Solyc10g050600.1	0	0	0	0	0	0	0	0
gene:Solyc10g050590.1	0	0	0	0	0	0	0	0
gene:Solyc10g050580.1	0	0	0	0	0	0	0	0
gene:Solyc10g050570.1	10	23	5	16	12	19	32	55
gene:Solyc10g050560.1	0	0	0	0	0	0	0	0
gene:Solyc10g050550.3	0	0	8	0	0	0	119	42
gene:Solyc10g050540.2	2190	1953	1785	2188	2164	2082	1786	3130
gene:Solyc10g050530.2	0	0	0	0	0	0	0	0
gene:Solyc10g050517.1	0	0	0	0	0	0	0	0
gene:Solyc10g050513.1	0	0	0	0	0	0	0	0
gene:Solyc10g050510.1	0	0	2	2	0	0	16	51
gene:Solyc10g050500.2	0	0	0	0	0	0	0	0
gene:Solyc10g050490.1	0	0	0	0	0	0	0	0
gene:Solyc10g050470.3	6	4	0	0	4	0	196	239
gene:Solyc10g050460.1	0	0	0	1	0	0	0	0
gene:Solyc10g050457.1	0	0	0	0	0	0	0	0
gene:Solyc10g050453.1	0	0	0	0	0	0	0	0
gene:Solyc10g050450.2	20	9	45	11	12	14	183	55
gene:Solyc10g050445.1	0	2	0	3	0	5	0	2
gene:Solyc10g050440.2	1264	1208	1557	1908	1782	1790	420	470
gene:Solyc10g050430.1	34	29	78	93	40	36	26	6
gene:Solyc10g050420.3	0	0	0	0	0	0	0	2
gene:Solyc10g050400.1	0	0	0	0	0	0	0	0
gene:Solyc10g050370.2	0	0	0	0	0	0	0	0
gene:Solyc10g050350.1	0	0	0	0	0	0	0	0
gene:Solyc10g050325.2	0	0	0	0	2	0	0	0
gene:Solyc10g050323.1	0	0	4	0	6	0	0	0
gene:Solyc10g050320.2	0	0	0	0	0	0	0	0
gene:Solyc10g050310.1	0	0	0	0	0	0	0	0
gene:Solyc10g050250.1	0	0	0	0	0	0	0	0
gene:Solyc10g050230.3	686	736	621	552	666	597	879	812
gene:Solyc10g050227.1	2	0	4	14	6	9	1	0
